"Sex";"Age, 31 December";"Periods";"Deaths (aantal)"
"Male";"80 years or older";"1984 week 8";"     386"
"Male";"80 years or older";"1984 week 9";"     424"
"Male";"80 years or older";"1984 week 10";"     393"
"Male";"80 years or older";"1984 week 11";"     430"
"Male";"80 years or older";"1984 week 12";"     471"
"Male";"80 years or older";"1984 week 13";"     479"
"Male";"80 years or older";"1984 week 14";"     457"
"Male";"80 years or older";"1984 week 15";"     437"
"Male";"80 years or older";"1984 week 16";"     411"
"Male";"80 years or older";"1984 week 17";"     413"
"Male";"80 years or older";"1984 week 18";"     379"
"Male";"80 years or older";"1984 week 19";"     380"
"Male";"80 years or older";"1984 week 20";"     361"
"Male";"80 years or older";"1984 week 21";"     336"
"Male";"80 years or older";"1984 week 22";"     373"
"Male";"80 years or older";"1984 week 23";"     333"
"Male";"80 years or older";"1984 week 24";"     367"
"Male";"80 years or older";"1984 week 25";"     378"
"Male";"80 years or older";"1984 week 26";"     335"
"Male";"80 years or older";"1984 week 27";"     346"
"Male";"80 years or older";"1984 week 28";"     357"
"Male";"80 years or older";"1984 week 29";"     325"
"Male";"80 years or older";"1984 week 30";"     299"
"Male";"80 years or older";"1984 week 31";"     354"
"Male";"80 years or older";"1984 week 32";"     324"
"Male";"80 years or older";"1984 week 33";"     326"
"Male";"80 years or older";"1984 week 34";"     379"
"Male";"80 years or older";"1984 week 35";"     313"
"Male";"80 years or older";"1984 week 36";"     299"
"Male";"80 years or older";"1984 week 37";"     317"
"Male";"80 years or older";"1984 week 38";"     308"
"Male";"80 years or older";"1984 week 39";"     355"
"Male";"80 years or older";"1984 week 40";"     338"
"Male";"80 years or older";"1984 week 41";"     325"
"Male";"80 years or older";"1984 week 42";"     323"
"Male";"80 years or older";"1984 week 43";"     344"
"Male";"80 years or older";"1984 week 44";"     329"
"Male";"80 years or older";"1984 week 45";"     378"
"Male";"80 years or older";"1984 week 46";"     381"
"Male";"80 years or older";"1984 week 47";"     355"
"Male";"80 years or older";"1984 week 48";"     349"
"Male";"80 years or older";"1984 week 49";"     371"
"Male";"80 years or older";"1984 week 50";"     400"
"Male";"80 years or older";"1984 week 51";"     390"
"Male";"80 years or older";"1984 week 52";"     418"
"Male";"80 years or older";"1984 week 53 (1 day)";"      52"
"Male";"80 years or older";"1984";"   19507"
"Male";"80 years or older";"1985 week 1 (6 days)";"     401"
"Male";"80 years or older";"1985 week 2";"     509"
"Male";"80 years or older";"1985 week 3";"     491"
"Male";"80 years or older";"1985 week 4";"     525"
"Male";"80 years or older";"1985 week 5";"     470"
"Male";"80 years or older";"1985 week 6";"     435"
"Male";"80 years or older";"1985 week 7";"     430"
"Male";"80 years or older";"1985 week 8";"     520"
"Male";"80 years or older";"1985 week 9";"     506"
"Male";"80 years or older";"1985 week 10";"     500"
"Male";"80 years or older";"1985 week 11";"     454"
"Male";"80 years or older";"1985 week 12";"     462"
"Male";"80 years or older";"1985 week 13";"     414"
"Male";"80 years or older";"1985 week 14";"     404"
"Male";"80 years or older";"1985 week 15";"     388"
"Male";"80 years or older";"1985 week 16";"     380"
"Male";"80 years or older";"1985 week 17";"     403"
"Male";"80 years or older";"1985 week 18";"     355"
"Male";"80 years or older";"1985 week 19";"     383"
"Male";"80 years or older";"1985 week 20";"     376"
"Male";"80 years or older";"1985 week 21";"     348"
"Male";"80 years or older";"1985 week 22";"     350"
"Male";"80 years or older";"1985 week 23";"     353"
"Male";"80 years or older";"1985 week 24";"     333"
"Male";"80 years or older";"1985 week 25";"     371"
"Male";"80 years or older";"1985 week 26";"     329"
"Male";"80 years or older";"1985 week 27";"     330"
"Male";"80 years or older";"1985 week 28";"     357"
"Male";"80 years or older";"1985 week 29";"     361"
"Male";"80 years or older";"1985 week 30";"     312"
"Male";"80 years or older";"1985 week 31";"     294"
"Male";"80 years or older";"1985 week 32";"     356"
"Male";"80 years or older";"1985 week 33";"     335"
"Male";"80 years or older";"1985 week 34";"     314"
"Male";"80 years or older";"1985 week 35";"     348"
"Male";"80 years or older";"1985 week 36";"     354"
"Male";"80 years or older";"1985 week 37";"     331"
"Male";"80 years or older";"1985 week 38";"     320"
"Male";"80 years or older";"1985 week 39";"     300"
"Male";"80 years or older";"1985 week 40";"     308"
"Male";"80 years or older";"1985 week 41";"     352"
"Male";"80 years or older";"1985 week 42";"     353"
"Male";"80 years or older";"1985 week 43";"     373"
"Male";"80 years or older";"1985 week 44";"     391"
"Male";"80 years or older";"1985 week 45";"     417"
"Male";"80 years or older";"1985 week 46";"     376"
"Male";"80 years or older";"1985 week 47";"     393"
"Male";"80 years or older";"1985 week 48";"     426"
"Male";"80 years or older";"1985 week 49";"     406"
"Male";"80 years or older";"1985 week 50";"     378"
"Male";"80 years or older";"1985 week 51";"     376"
"Male";"80 years or older";"1985 week 52";"     384"
"Male";"80 years or older";"1985 week 53 (2 days)";"     125"
"Male";"80 years or older";"1985";"   20260"
"Male";"80 years or older";"1986 week 1 (5 days)";"     319"
"Male";"80 years or older";"1986 week 2";"     448"
"Male";"80 years or older";"1986 week 3";"     500"
"Male";"80 years or older";"1986 week 4";"     462"
"Male";"80 years or older";"1986 week 5";"     431"
"Male";"80 years or older";"1986 week 6";"     467"
"Male";"80 years or older";"1986 week 7";"     541"
"Male";"80 years or older";"1986 week 8";"     555"
"Male";"80 years or older";"1986 week 9";"     638"
"Male";"80 years or older";"1986 week 10";"     629"
"Male";"80 years or older";"1986 week 11";"     530"
"Male";"80 years or older";"1986 week 12";"     472"
"Male";"80 years or older";"1986 week 13";"     441"
"Male";"80 years or older";"1986 week 14";"     380"
"Male";"80 years or older";"1986 week 15";"     410"
"Male";"80 years or older";"1986 week 16";"     380"
"Male";"80 years or older";"1986 week 17";"     363"
"Male";"80 years or older";"1986 week 18";"     401"
"Male";"80 years or older";"1986 week 19";"     336"
"Male";"80 years or older";"1986 week 20";"     367"
"Male";"80 years or older";"1986 week 21";"     344"
"Male";"80 years or older";"1986 week 22";"     340"
"Male";"80 years or older";"1986 week 23";"     319"
"Male";"80 years or older";"1986 week 24";"     354"
"Male";"80 years or older";"1986 week 25";"     401"
"Male";"80 years or older";"1986 week 26";"     402"
"Male";"80 years or older";"1986 week 27";"     417"
"Male";"80 years or older";"1986 week 28";"     321"
"Male";"80 years or older";"1986 week 29";"     344"
"Male";"80 years or older";"1986 week 30";"     322"
"Male";"80 years or older";"1986 week 31";"     331"
"Male";"80 years or older";"1986 week 32";"     303"
"Male";"80 years or older";"1986 week 33";"     318"
"Male";"80 years or older";"1986 week 34";"     340"
"Male";"80 years or older";"1986 week 35";"     304"
"Male";"80 years or older";"1986 week 36";"     292"
"Male";"80 years or older";"1986 week 37";"     354"
"Male";"80 years or older";"1986 week 38";"     364"
"Male";"80 years or older";"1986 week 39";"     369"
"Male";"80 years or older";"1986 week 40";"     334"
"Male";"80 years or older";"1986 week 41";"     340"
"Male";"80 years or older";"1986 week 42";"     333"
"Male";"80 years or older";"1986 week 43";"     361"
"Male";"80 years or older";"1986 week 44";"     358"
"Male";"80 years or older";"1986 week 45";"     369"
"Male";"80 years or older";"1986 week 46";"     373"
"Male";"80 years or older";"1986 week 47";"     371"
"Male";"80 years or older";"1986 week 48";"     378"
"Male";"80 years or older";"1986 week 49";"     375"
"Male";"80 years or older";"1986 week 50";"     381"
"Male";"80 years or older";"1986 week 51";"     392"
"Male";"80 years or older";"1986 week 52";"     367"
"Male";"80 years or older";"1986 week 53 (3 days)";"     176"
"Male";"80 years or older";"1986";"   20517"
"Male";"80 years or older";"1987 week 1 (4 days)";"     248"
"Male";"80 years or older";"1987 week 2";"     452"
"Male";"80 years or older";"1987 week 3";"     514"
"Male";"80 years or older";"1987 week 4";"     476"
"Male";"80 years or older";"1987 week 5 ";"     447"
"Male";"80 years or older";"1987 week 6";"     475"
"Male";"80 years or older";"1987 week 7";"     445"
"Male";"80 years or older";"1987 week 8";"     413"
"Male";"80 years or older";"1987 week 9";"     388"
"Male";"80 years or older";"1987 week 10";"     404"
"Male";"80 years or older";"1987 week 11";"     405"
"Male";"80 years or older";"1987 week 12";"     412"
"Male";"80 years or older";"1987 week 13";"     391"
"Male";"80 years or older";"1987 week 14";"     433"
"Male";"80 years or older";"1987 week 15";"     393"
"Male";"80 years or older";"1987 week 16";"     398"
"Male";"80 years or older";"1987 week 17";"     377"
"Male";"80 years or older";"1987 week 18";"     376"
"Male";"80 years or older";"1987 week 19";"     370"
"Male";"80 years or older";"1987 week 20";"     356"
"Male";"80 years or older";"1987 week 21";"     377"
"Male";"80 years or older";"1987 week 22";"     370"
"Male";"80 years or older";"1987 week 23";"     401"
"Male";"80 years or older";"1987 week 24";"     384"
"Male";"80 years or older";"1987 week 25";"     366"
"Male";"80 years or older";"1987 week 26";"     380"
"Male";"80 years or older";"1987 week 27";"     387"
"Male";"80 years or older";"1987 week 28";"     352"
"Male";"80 years or older";"1987 week 29";"     392"
"Male";"80 years or older";"1987 week 30";"     323"
"Male";"80 years or older";"1987 week 31";"     306"
"Male";"80 years or older";"1987 week 32";"     294"
"Male";"80 years or older";"1987 week 33";"     351"
"Male";"80 years or older";"1987 week 34";"     346"
"Male";"80 years or older";"1987 week 35";"     328"
"Male";"80 years or older";"1987 week 36";"     325"
"Male";"80 years or older";"1987 week 37";"     327"
"Male";"80 years or older";"1987 week 38";"     348"
"Male";"80 years or older";"1987 week 39";"     356"
"Male";"80 years or older";"1987 week 40";"     336"
"Male";"80 years or older";"1987 week 41";"     346"
"Male";"80 years or older";"1987 week 42";"     393"
"Male";"80 years or older";"1987 week 43";"     359"
"Male";"80 years or older";"1987 week 44";"     376"
"Male";"80 years or older";"1987 week 45";"     350"
"Male";"80 years or older";"1987 week 46";"     392"
"Male";"80 years or older";"1987 week 47";"     373"
"Male";"80 years or older";"1987 week 48";"     385"
"Male";"80 years or older";"1987 week 49";"     379"
"Male";"80 years or older";"1987 week 50";"     421"
"Male";"80 years or older";"1987 week 51";"     445"
"Male";"80 years or older";"1987 week 52";"     391"
"Male";"80 years or older";"1987 week 53 (4 days)";"     251"
"Male";"80 years or older";"1987";"   20083"
"Male";"80 years or older";"1988 week 0 (3 days)";"     175"
"Male";"80 years or older";"1988 week 1";"     443"
"Male";"80 years or older";"1988 week 2";"     427"
"Male";"80 years or older";"1988 week 3";"     437"
"Male";"80 years or older";"1988 week 4";"     426"
"Male";"80 years or older";"1988 week 5";"     424"
"Male";"80 years or older";"1988 week 6";"     423"
"Male";"80 years or older";"1988 week 7";"     400"
"Male";"80 years or older";"1988 week 8";"     401"
"Male";"80 years or older";"1988 week 9";"     426"
"Male";"80 years or older";"1988 week 10";"     431"
"Male";"80 years or older";"1988 week 11";"     412"
"Male";"80 years or older";"1988 week 12";"     417"
"Male";"80 years or older";"1988 week 13";"     430"
"Male";"80 years or older";"1988 week 14";"     417"
"Male";"80 years or older";"1988 week 15";"     419"
"Male";"80 years or older";"1988 week 16";"     415"
"Male";"80 years or older";"1988 week 17";"     382"
"Male";"80 years or older";"1988 week 18";"     391"
"Male";"80 years or older";"1988 week 19";"     377"
"Male";"80 years or older";"1988 week 20";"     395"
"Male";"80 years or older";"1988 week 21";"     396"
"Male";"80 years or older";"1988 week 22";"     395"
"Male";"80 years or older";"1988 week 23";"     349"
"Male";"80 years or older";"1988 week 24";"     349"
"Male";"80 years or older";"1988 week 25";"     353"
"Male";"80 years or older";"1988 week 26";"     392"
"Male";"80 years or older";"1988 week 27";"     387"
"Male";"80 years or older";"1988 week 28";"     333"
"Male";"80 years or older";"1988 week 29";"     363"
"Male";"80 years or older";"1988 week 30";"     341"
"Male";"80 years or older";"1988 week 31";"     361"
"Male";"80 years or older";"1988 week 32";"     395"
"Male";"80 years or older";"1988 week 33";"     313"
"Male";"80 years or older";"1988 week 34";"     367"
"Male";"80 years or older";"1988 week 35";"     347"
"Male";"80 years or older";"1988 week 36";"     335"
"Male";"80 years or older";"1988 week 37";"     378"
"Male";"80 years or older";"1988 week 38";"     349"
"Male";"80 years or older";"1988 week 39";"     348"
"Male";"80 years or older";"1988 week 40";"     361"
"Male";"80 years or older";"1988 week 41";"     397"
"Male";"80 years or older";"1988 week 42";"     395"
"Male";"80 years or older";"1988 week 43";"     407"
"Male";"80 years or older";"1988 week 44";"     433"
"Male";"80 years or older";"1988 week 45";"     409"
"Male";"80 years or older";"1988 week 46";"     428"
